고유 번호,지침_원문,지침,오류 유형,디바이스,문제점 및 개선 방안,점검/문구 사용 시 주의사항,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,불릿(Bullet) 등 의미 없는 이미지에 alt 속성을 제공하지 않거나 속성 값을 빈값 (alt=“”)으로 제공하지 않는 경우 또는 불필요한 대체 텍스트를 제공한 경우,공통,이미지 요소 전·후에 제공된 텍스트를 통해 이미지에서 전달하고자 하는 정보를 충분히 파악할 수 있으므로 대체 텍스트 속성을 빈 값으로 제공해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,불릿(Bullet) 등 의미 없는 이미지에 alt 속성을 제공하지 않거나 속성 값을 빈값 (alt=“”)으로 제공하지 않는 경우 또는 불필요한 대체 텍스트를 제공한 경우,공통,alt 속성이 생략되어 이미지 요소의 경로 정보가 스크린 리더로 출력되고 있음. 이미지에 alt 속성을 선언하고 공백문자로 속성값을 부여하여 스크린 리더가 요소를 건너뛸 수 있도록 해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"조직의 관계나 프로세스 등 복잡한 이미지의 내용을 대체 텍스트로 설명하였으나, 순서가 맞지 않거나 설명이 부족하여 원래 이미지의 내용을 대신할 수 없다고 판단되는 경우",공통,조직 간 상·하 관계를 정확하게 반영한 대체 텍스트를 제공해야 함,이미지 맵 등,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,img 요소의 대체 텍스트를 title만으로 제공하는 경우,공통,"title 속성은 이미지 요소의 대체 수단이 될 수 없음
alt 속성 또는 숨김 텍스트를 활용하여 이미지에 대체 텍스트를 제공해야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"QR코드 등과 같이 시각적인 정보만으로 확인이 가능한 콘텐츠(기능)의 이동 주소 정보 등을 대체 텍스트 또는 설명, 링크 등으로 제공하지 않은 경우",공통,시각 장애가 있는 사용자는 카메라로 QR 코드를 찍는 방식으로 이용이 어렵기 때문에 QR 이미지를 링크로 제공하고 링크의 목적에 대해 설명을 제공해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,배경 이미지가 의미 있는 정보를 제공하고 있으나 이를 텍스트 형태의 정보로 제공하지 않은 경우,공통,배경 이미지가 전달하고자 하는 정보와 동등한 수준의 설명을 숨김 텍스트로 제공해야 함,"CSS background, content 등의 방식으로 제공하고 있는 그래픽 요소",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,배경 이미지가 의미 있는 정보를 제공하고 있으나 이를 텍스트 형태의 정보로 제공하지 않은 경우,공통,가상 선택자로 전달하고자 하는 정보와 동등한 수준의 설명을 숨김 텍스트로 제공해야 함,"CSS 가상 선택자(::before, ::after 등) 방식으로 제공하고 있는 그래픽 요소",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"사용자가 직접 대체 텍스트가 필요한 콘텐츠를 등록할 때(예: 게시판에 콘텐츠 등록), 해당 콘텐츠에 대한 대체 콘텐츠를 입력하는 기능을 제공하지 않은 경우",공통,"일반 사용자가 텍스트가 아닌 콘텐츠를 게시물로 등록할 수 있는 경우 콘텐츠에 대한 대체 정보를 입력할 수 있는 기능(별도의 대체 텍스트 입력 영역, 대체 텍스트 업로드 기능 등)을 함께 제공해야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"longdesc 속성을 이용했으나, 파일이 연결되지 않은 경우 또는 longdesc로 연결된 파일의 내용이 longdesc 속성을 부여한 img가 가진 내용의 의미나 기능을 파악하기 어려운 경우",공통,,HTML5에서는 표준이 아니므로 IR 기법을 사용하도록 해야 함,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,HTML5에서 img 요소에 longdesc 속성과 값을 사용한 경우,공통,HTML5에서는 표준이 아니므로 숨김 텍스트 또는 별도의 이미지 해설 페이지를 눈에 보이는 링크로 연결하는 방식으로 대체 텍스트를 제공해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,<area> 요소나 longdesc 속성을 사용하였으나 area나 longdesc의 서술대상인 <img> 요소 자체에 alt 속성을 적절하게 제공하지 않은 경우,공통,이미지맵으로 사용되고 있는 <img>에 alt 속성을 선언하고 이미지의 용도를 이해할 수 있는 설명을 제공해야 함,"<map name=""target"">
  <area alt="""">
  <area alt="""">
</map>
<img usemap=""#target"" alt="""">",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,<area> 요소나 longdesc 속성을 사용하였으나 area나 longdesc의 서술대상인 <img> 요소 자체에 alt 속성을 적절하게 제공하지 않은 경우,공통,"이미지맵의 <area> 요소에 링크 목적지 정보를 제공하지 않아 용도를 이해할 수 없음
alt 속성을 선언하고 링크의 목적지를 이해할 수 있는 설명을 제공해야 함","<map name=""target"">
  <area alt="""">
  <area alt="""">
</map>
<img usemap=""#target"" alt="""">",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,<area> 요소나 longdesc 속성을 사용하였으나 area나 longdesc의 서술대상인 <img> 요소 자체에 alt 속성을 적절하게 제공하지 않은 경우,공통,title 속성은 <area>의 접근 가능한 이름이 아니므로 alt 속성을 활용하여 링크 목적지 정보를 제공해야 함,"<map name=""target"">
  <area title="""">
  <area title="""">
</map>
<img usemap=""#target"" alt="""">",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,유의미한 소리 정보 등에 대한 대체 텍스트를 미제공한 경우,공통,"콘텐츠 이용에 중요한 소리 정보에 대한 대체 정보를 제공하지 않아 스크린 리더 사용자는 내용을 이해할 수 없음
텍스트가 아닌 모든 정보는 그 내용을 텍스트로 확인할 수 있어야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,-,공통,"~에 대한 정보를 시각적으로 구분하여 표현하고 있으나 이에 대한 대체 정보를 제공하지 않음
시각적 단서에 대한 숨김 텍스트를 제공하여 스크린 리더에서 정보를 인지할 수 있도록 해야 함","동그라미, 네모 등의 그래픽한 표현
그래프 범례 등이 여기에 해당
",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,-,공통,"스크린 리더를 위한 숨김 텍스트를 제공하기 위해 대체 콘텐츠에 부적절한 스타일을 적용하여 스크린 리더로는 정보를 전달 받을 수 없음
visibility:hidden, display:none, 1px 미만의 font-size, 0.1 미만의 opacity 중 하나 이상이 적용된 경우, 스크린 리더가 정보에 접근할 수 없게 되므로 해당 스타일 사용에 유의해야 함
text-indent 역시 사용 시 시각적으로 표시되는 요소의 위치와 상관 없는 위치 또는 뷰포트를 넘어가는 영역에 스크린 리더 가상 초점을 생성시키므로 사용하지 않아야 함","· 숨김 텍스트를 위한 공통 클래스의 스타일에 visibility:hidden / display:none / width:0, height:0 적용 여부 확인

.sr-only{overflow: hidden; position: absolute; z-index:-1; width: 1px; height: 1px; font-size:1px; clip-path: rect(1px 1px 1px 1px)}",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,-,공통,"스크린 리더를 위한 숨김 텍스트를 제공하기 위해 대체 콘텐츠에 부적절한 스타일(visibility:hidden / display:none / 1px 미만의 font-size / 0.1 미만의 opacity )을 적용하여 스크린 리더로는 정보를 전달 받을 수 없음
요소에 적용된 부적절한 스타일을 삭제하고 숨김 텍스트를 위한 공통 클래스를 적용해야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,-,공통,"자동가입방지 확인을 통과하기 위한 인증을 이미지의 문자 정보 입력(CAPCHA 인증)으로 제공하고 있음
보안 문제 등으로 이미지의 문자 정보를 대체 텍스트로 제공할 수 없는 경우 이를 대체할 수 있는 대체기능을 구현해야 함 (예: 음성듣기 기능, 다른 인증방법 병행 제공)",보안 문제 등으로 이미지의 문자 정보를 대체 텍스트로 제공할 수 없는 경우,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,-,공통,"텍스트 유사체(Unicode), 아스키코드(ASCII Code)를 사용하여 스크린 리더 유저는 이해할 수 없음
해당 내용에 대체 텍스트를 제공하거나, 텍스트 마크업으로 변경해야 함",,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","멀티미디어 콘텐츠에 대체수단(자막, 원고, 수화 중 하나 이상)을 전혀 제공하지 않은 경우",공통,"멀티미디어에 대한 대체 콘텐츠로 자막, 원고, 수어 중 하나 이상을 제공해야 함
동영상 바로 다음 요소에 원고 제공을 위한 콘텐츠 영역을 마크업하고 내레이션을 포함하여, 정보를 전달하기 위해 사용된 모든 요소(텍스트, 강조를 위한 화살표, 애니메이션 등)에 대한 설명을 제공해야 함",일반 동영상,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","멀티미디어 콘텐츠에 대체수단(자막, 원고, 수화 중 하나 이상)을 전혀 제공하지 않은 경우",공통,"멀티미디어에 대한 대체 콘텐츠로 자막, 원고, 수어 중 하나 이상을 제공 해야 함
동영상 바로 다음 요소에 원고 제공을 위한 콘텐츠 영역을 마크업하고 내레이션을 포함하여, 정보를 전달하기 위해 사용된 모든 요소(텍스트, 강조를 위한 화살표, 애니메이션 등)에 대한 설명을 제공해야 함
실시간 방송의 경우 방송 중 동기화된 자막을 제공할 수 없다면, 방송 종료 후 반드시 원고를 제공해야 함",실시간 동영상,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","멀티미디어 콘텐츠에 대체수단(자막, 원고, 수화 중 하나 이상)을 전혀 제공하지 않은 경우",공통,"음성에 대한 대체 정보(대본)를 눈에 보이는 텍스트로 제공 해야 함
대체 정보에는 음성에 포함된 정보가 동등한 수준으로 포함되어야 함",음성,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.",멀티미디어 콘텐츠에 대한 대체 수단의 내용을 불충분 또는 적절하지 않게 제공한 경우,공통,동영상 원고에 누락된 설명 및 정보를 보완해야 함,,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.",멀티미디어 콘텐츠에 대한 대체 수단의 내용을 불충분 또는 적절하지 않게 제공한 경우,공통,"동영상 자막과 수어가 같은 위치에 겹쳐서 제공되고 있음
자막과 수어가 겹치지 않는 배치하도록 수정하거나 자막을 끄고 켤 수 있는 닫힌 자막을 제공하도록 수정해야 함",,,,,,,,,,,,,,,,,,,,,,,
2,"(자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.","2. (자막 제공) 멀티미디어 콘텐츠에는 자막, 대본 또는 수어를 제공해야 한다.",사용자가 등록한 멀티미디어 콘텐츠에 대해 관리자가 대체 수단 입력 기능을 제공하지 않은 경우,공통,"사용자가 작성하는 콘텐츠에 동영상 콘텐츠 업로드를 허용한 경우 동영상에 대한 대체 수단(동영상 내부 콘텐츠에 대한 설명/원고, 다운로드 가능한 자막, 원고 파일 등)을 함께 등록할 수 있는 수단을 제공해야 함",,,,,,,,,,,,,,,,,,,,,,,
3,(표의 구성) 표는 이해하기 쉽게 구성해야 한다.,3. (표의 구성) 표는 이해하기 쉽게 구성해야 한다.,표의 제목과 요약정보를 제공하지 않은 경우,공통,"데이터 데이블에는  summary 속성과 <caption>을 사용하여, 표의 구성과 데이터에 대한 요약 정보 및 제목을 제공해야 함",HTML 5?미만인 경우,,,,,,,,,,,,,,,,,,,,,,
3,(표의 구성) 표는 이해하기 쉽게 구성해야 한다.,3. (표의 구성) 표는 이해하기 쉽게 구성해야 한다.,표의 제목과 요약정보를 제공하지 않은 경우,공통,데이터 테이블에는 <table>의 첫 번째 자식으로 <caption>을 마크업하고 표의 제목을 제공해야 함,HTML 5,,,,,,,,,,,,,,,,,,,,,,
3,(표의 구성) 표는 이해하기 쉽게 구성해야 한다.,3. (표의 구성) 표는 이해하기 쉽게 구성해야 한다.,표의 제목과 요약정보가 불충분하거나 적절하게 제공되지 않은 경우,공통,"<caption>에 사용된 부적절한 스타일로 인해 스크린 리더에서 표 제목을 확인할 수 없음
display:none/visibility:hidden 속성을 삭제하고 적절한 방식으로 <caption>을 숨겨야 함",caption{width: 1px; height: 1px; font-size:1px; margin: -1px; border: none; overflow: hidden; clip-path: rect(1px 1px 1px 1px);},,,,,,,,,,,,,,,,,,,,,,
3,(표의 구성) 표는 이해하기 쉽게 구성해야 한다.,3. (표의 구성) 표는 이해하기 쉽게 구성해야 한다.,표의 제목과 요약정보가 불충분하거나 적절하게 제공되지 않은 경우,Mobile,"<caption>에 사용된 부적절한 스타일로 인해 스크린 리더에서 표 제목을 확인할 수 없음
font-size:0 속성을 삭제하고 적절한 방식으로 <caption>을 숨겨야 함",iOS,,,,,,,,,,,,,,,,,,,,,,
